verdict,precision_svm,recall_svm
1,0.8440175382951728,0.6568310782255774
2,0.7767966337656987,0.39627607059113906
3,0.8603121867626732,0.6940419627358071
4,0.918840579710145,0.32680274588421115
5,0.6480986333927511,0.21693235846418157
6,0.9030340012487938,0.7025418569254186
7,0.775765095119934,0.41127039515034225
8,0.8511530398322851,0.5017621404997642
9,0.7981703830760436,0.3140131462937881
10,0.7771450685537373,0.5725810168519954
12,0.8287579496465477,0.49355108504065104
13,0.8294444444444444,0.3331685789441074
14,0.7187987987987987,0.17613808207748863
15,0.7552161483133193,0.4467411554217538
16,0.8013550068457981,0.7212219214148491
17,0.80345819033945,0.44566052341938955
18,0.8100932698633847,0.29171925798431825
19,0.851178513859844,0.7058943355592499
20,0.8704146728817754,0.7581960672059443
21,0.6147421931735657,0.16995601453432777
100,0.7666733091805211,0.5409593260429514
