sml_round,num_classified,num_added_to_training,num_sample,hv_type
1,6316.333333333333,6316.333333333333,0,ml_only
2,581.3333333333334,581.3333333333334,0,ml_only
3,175,175,0,ml_only
4,84.66666666666667,84.66666666666667,0,ml_only
5,55,55,0,ml_only
1,6313.333333333333,2086.3333333333335,2469.6666666666665,basic
2,4405.333333333333,1361.6666666666667,1841.3333333333333,basic
3,3155.3333333333335,1937.6666666666667,1429.3333333333333,basic
4,1393.3333333333333,360.3333333333333,956,basic
5,1090,190,825.6666666666666,basic
1,6322.666666666667,2094.6666666666665,2473,basic_enhanced
2,4018.6666666666665,1407.6666666666667,1683.3333333333333,basic_enhanced
3,2529.6666666666665,2302.3333333333335,1136.3333333333333,basic_enhanced
4,289.6666666666667,193.66666666666666,286,basic_enhanced
5,98.66666666666667,57,98.66666666666667,basic_enhanced
1,6341.666666666667,4050.3333333333335,2474.3333333333335,balanced
2,2248,1603.6666666666667,1109,balanced
3,628.6666666666666,510.3333333333333,445.3333333333333,balanced
4,140,88,140,balanced
5,60.333333333333336,37.666666666666664,60.333333333333336,balanced
1,6333.333333333333,3617.3333333333335,2469.6666666666665,balanced_active
2,2501.3333333333335,2216.6666666666665,1117.3333333333333,balanced_active
3,284.3333333333333,201.33333333333334,259.3333333333333,balanced_active
4,76,46.666666666666664,76,balanced_active
5,43,26.333333333333332,43,balanced_active
